configuration,intent,guideline_id,count
C1,Question,G1,78
C1,Question,G3,12
C1,Question,G13,32
C1,Question,G2,22
C1,Question,G9,7
C1,Question,G12,2
C1,Question,G6,16
C1,Question,G15,3
C1,Question,G10,3
C1,Question,G4,2
C1,Question,G7,1
C1,Clarification,G6,19
C1,Clarification,G1,64
C1,Clarification,G13,33
C1,Clarification,G2,16
C1,Clarification,G10,1
C1,Clarification,G3,6
C1,Clarification,G9,10
C1,Clarification,G14,1
C1,Clarification,G15,2
C1,Clarification,G12,1
C1,Clarification,G5,2
C1,Clarification,G7,1
C1,Direction,G1,56
C1,Direction,G2,19
C1,Direction,G6,10
C1,Direction,G3,11
C1,Direction,G13,22
C1,Direction,G5,4
C1,Direction,G15,2
C1,Direction,G9,13
C1,Direction,G10,4
C1,Direction,G14,1
C1,Direction,G4,2
C1,Direction,G7,1
C1,Recommendation,G9,16
C1,Recommendation,G15,1
C1,Recommendation,G1,61
C1,Recommendation,G13,24
C1,Recommendation,G6,7
C1,Recommendation,G12,1
C1,Recommendation,G3,15
C1,Recommendation,G2,13
C1,Recommendation,G8,2
C1,Recommendation,G4,1
C1,Recommendation,G10,1
C2,Direction,G1,20
C2,Direction,G2,11
C2,Direction,G13,9
C2,Direction,G3,2
C2,Recommendation,G7,1
C2,Recommendation,G2,6
C2,Recommendation,G1,25
C2,Recommendation,G13,12
C2,Recommendation,G3,6
C2,Clarification,G1,31
C2,Clarification,G2,5
C2,Clarification,G15,4
C2,Clarification,G13,12
C2,Clarification,G3,4
C2,Clarification,G9,1
C2,Question,G2,12
C2,Question,G1,44
C2,Question,G3,2
C2,Question,G15,1
C2,Question,G13,12
C2,Question,G6,1
C3,Question,G3,12
C3,Question,G9,9
C3,Question,G13,27
C3,Question,G1,47
C3,Question,G2,21
C3,Question,G15,5
C3,Question,G6,10
C3,Question,G5,1
C3,Question,G7,1
C3,Question,G10,2
C3,Question,G12,2
C3,Clarification,G6,10
C3,Clarification,G1,56
C3,Clarification,G3,9
C3,Clarification,G9,9
C3,Clarification,G2,18
C3,Clarification,G13,24
C3,Clarification,G8,2
C3,Clarification,G5,1
C3,Clarification,G15,2
C3,Clarification,G7,1
C3,Direction,G1,85
C3,Direction,G2,16
C3,Direction,G5,3
C3,Direction,G9,10
C3,Direction,G3,46
C3,Direction,G13,56
C3,Direction,G6,5
C3,Direction,G8,1
C3,Direction,G10,1
C3,Recommendation,G1,45
C3,Recommendation,G13,27
C3,Recommendation,G12,1
C3,Recommendation,G7,1
C3,Recommendation,G15,2
C3,Recommendation,G6,9
C3,Recommendation,G3,10
C3,Recommendation,G2,8
C3,Recommendation,G5,2
C3,Recommendation,G9,14
C3,Recommendation,G8,1
C3,Recommendation,G14,1
C4,Question,G3,3
C4,Question,G13,30
C4,Question,G1,55
C4,Question,G2,33
C4,Question,G15,5
C4,Question,G6,1
C4,Clarification,G1,57
C4,Clarification,G2,16
C4,Clarification,G13,24
C4,Clarification,G15,2
C4,Clarification,G3,4
C4,Direction,G1,48
C4,Direction,G2,15
C4,Direction,G13,24
C4,Direction,G3,1
C4,Recommendation,G1,38
C4,Recommendation,G2,15
C4,Recommendation,G6,1
C4,Recommendation,G13,18
C4,Recommendation,G3,5
C4,Recommendation,G15,1
C4,Recommendation,G9,1
C4,Recommendation,G8,1
C5,Question,G3,56
C5,Question,G1,285
C5,Question,G2,142
C5,Question,G9,11
C5,Question,G6,45
C5,Question,G15,10
C5,Question,G13,87
C5,Question,G10,10
C5,Question,G12,11
C5,Question,G11,2
C5,Question,G7,3
C5,Question,G8,7
C5,Question,G4,9
C5,Question,G5,7
C5,Question,G14,2
C5,Clarification,G6,32
C5,Clarification,G1,160
C5,Clarification,G3,37
C5,Clarification,G4,6
C5,Clarification,G2,84
C5,Clarification,G9,19
C5,Clarification,G10,32
C5,Clarification,G13,67
C5,Clarification,G12,6
C5,Clarification,G8,2
C5,Clarification,G5,4
C5,Clarification,G15,2
C5,Clarification,G11,1
C5,Clarification,G14,2
C5,Direction,G1,111
C5,Direction,G2,30
C5,Direction,G3,33
C5,Direction,G10,4
C5,Direction,G13,31
C5,Direction,G6,28
C5,Direction,G7,5
C5,Direction,G15,5
C5,Direction,G14,2
C5,Direction,G9,17
C5,Direction,G12,4
C5,Direction,G8,1
C5,Direction,G5,7
C5,Direction,G4,3
C5,Recommendation,G1,139
C5,Recommendation,G13,41
C5,Recommendation,G2,57
